,country,weapon,date,text
736,Republic of Korea ,­ F-16 Block 32 Aircraft Upgrades ," 2009 ­ On May 22, the Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to the Government of the Republic…","['WASHINGTON, May 26, 2009 \xad On May 22, the Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to the Government of the Republic…']"
737,Republic of Korea ,­ SM-2 Standard Missiles ," May 26, 2009 ­","['WASHINGTON, May 26, 2009 \xad- On May 22, The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to the Government of the Republic…']"
738,Republic of Korea ,­ SM-2 Standard Missiles ," 2009 ­ On May 22, The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to the Government of the Republic…","['WASHINGTON, May 26, 2009 \xad On May 22, The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to the Government of the Republic…']"
739,Morocco , Gulfstream G-550 Aircraft ," 2009 ­ On May 18, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to the government of Morocco of…","['WASHINGTON, May 18, 2009 \xad On May 18, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to the government of Morocco of…']"
740,AUSTRALIA , CH-47F CHINOOK HELICOPTERS ," April 23, 2009 ­ On April 6 the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…","['WASHINGTON, April 23, 2009 \xad On April 6 the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
741,Mexico ,­ Persuader Maritime Patrol Aircraft ," 2009 ­ On April 3, the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…","['WASHINGTON, April 3, 2009 \xad On April 3, the Defense Security Cooperation Agency (DSCA) notified Congress of a possible Foreign Military Sale to the Government of…']"
742,Mexico , Bell 412EP Helicopters ," March 13, 2009 ­ The Defense Security Cooperation Agency notified Congress today of a
possible Foreign Military Sale to Mexico of five Bell 412EP…","['WASHINGTON, March 13, 2009 \xad The Defense Security Cooperation Agency notified Congress today of a\npossible Foreign Military Sale to Mexico of five Bell 412EP…']"
743,Iraq ," Texan II Aircraft, Spare Parts and Other Support "," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency
notified Congress of a possible Foreign Military Sale to Iraq of 36 AT","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency\nnotified Congress of a possible Foreign Military Sale to Iraq of 36 AT-6B Texan II…']"
744,Iraq , Light Armored Vehicles ," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Iraq of 36 AT","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Iraq of 36 AT-6B Texan II…']"
745,Iraq ," Coastal Patrol Boats, Offshore Support Vessels"," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to Iraq of (20) 30","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to Iraq of (20) 30-35meter…']"
746,Iraq , M1A1 and Upgrade to M1A1M Abrams Tanks ," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency
notified Congress of a possible Foreign Military Sale to Iraq of 140 M1A1 Abrams…","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency\nnotified Congress of a possible Foreign Military Sale to Iraq of 140 M1A1 Abrams…']"
747,Iraq , M1A1 and Upgrade to M1A1M Abrams Tanks ," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency
notified Congress of a possible Foreign Military Sale to Iraq of 140 M1A1 Abrams…","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency\nnotified Congress of a possible Foreign Military Sale to Iraq of 140 M1A1 Abrams…']"
748,Iraq , Helicopters and Related Munitions ," 2008 ­ On Dec. 9, the Defense Security Cooperation Agency
notified Congress of a possible Foreign Military Sale to Iraq of 26 Bell Armed 407…","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency\nnotified Congress of a possible Foreign Military Sale to Iraq of 26 Bell Armed 407…']"
749,Iraq ," M16A4 Rifles, M4 Carbines and M203 Grenade Launchers"," the Defense Security Cooperation Agency
notified Congress of a possible Foreign Military Sale to Iraq of (80,000) M16A4 5.…","['WASHINGTON, December 10, 2008 \xad On Dec. 9, the Defense Security Cooperation Agency\nnotified Congress of a possible Foreign Military Sale to Iraq of (80,000) M16A4 5.…']"
750,Iraq ," Deployable Rapid Assembly Shelters, Communication Equipment"," December 10, 2008 ­ On Dec.","['WASHINGTON, December 10, 2008 \xad On Dec.']"
751,India , CBU-105 Sensor Fuzed Weapons," September 30, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to India of CBU","['WASHINGTON, September 30, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to India of CBU-105 Sensor Fuzed…']"
752,Brazil , UH-60L BLACK HAWK Helicopters ," 2008 ­ On September 26, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to Brazil of UH","['WASHINGTON, September 29, 2008 \xad On September 26, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to Brazil of UH-60L…']"
753,Greece , Enhanced PAVEWAY II Kits and Sustainment Support for F-16  Aircraft," 2008 ­ On September 26, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Greece of Enhanced…","['WASHINGTON, September 29, 2008 \xad On September 26, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Greece of Enhanced…']"
754,France , Upgrade E-3F AWACS Aircraft with Block 40/45 Mission Computing," September 26, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to France of upgrades to E","['WASHINGTON, September 26, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to France of upgrades to E-3F AWACS…']"
755,Egypt , UH-60M BLACK HAWK Helicopters ," September 9, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to Egypt of UH","['WASHINGTON, September 9, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to Egypt of UH-60M BLACK HAWK…']"
756,Egypt , TOW 2A Anti-Armor Guided Missiles ," September 9, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to Egypt of TOW 2A Anti","['WASHINGTON, September 9, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to Egypt of TOW 2A Anti-Armor Guided…']"
757,Egypt , UH-60M BLACK HAWK Helicopters ," September 9, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to Egypt of UH","['WASHINGTON, September 9, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to Egypt of UH-60M BLACK HAWK…']"
758,Australia , AEGIS Combat System Components for Air Warfare  Destroyer Program ," September 9, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to Finland of an F","['WASHINGTON, September 9, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to Finland of an F-18 Mid-Life Upgrade…']"
759,India , HARPOON Block II Missiles ," September 9, 2008 ­ The Defense Security Cooperation Agency notified Congress of a
possible Foreign Military Sale to India of HARPOON Block II Missiles as…","['WASHINGTON, September 9, 2008 \xad The Defense Security Cooperation Agency notified Congress of a\npossible Foreign Military Sale to India of HARPOON Block II Missiles as…']"
760,Australia , Follow-On Support for F/A-18E/F Aircraft ," August 1, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible
Foreign Military Sale to Australia of follow","['WASHINGTON, August 1, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible\nForeign Military Sale to Australia of follow-on support for F/A-…']"
761,Germany , (5) MQ-9 Unmanned Aerial Vehicle Aircraft," August 1, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Germany of five MQ","['WASHINGTON, August 1, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Germany of five MQ-9 Unmanned Aerial…']"
762,Iraq , Light Armored Vehicles ," July 30, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Iraq of Light Armored Vehicles as well as…","['WASHINGTON, July 30, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Iraq of Light Armored Vehicles as well as…']"
763,Australia , M777A2 155MM Light-Weight Howitzers," July 17, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible
Foreign Military Sale to Australia of M777A2 155MM Light","['WASHINGTON, July 17, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible\nForeign Military Sale to Australia of M777A2 155MM Light-Weight…']"
764,Finland , AIM-120C-7 AMRAAM Missiles," 2008 ­ On July 9, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to Finland of 300 AIM","['WASHINGTON, July 11, 2008 \xad On July 9, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to Finland of 300 AIM-120C-7…']"
765,Finland , AIM-120C-7 AMRAAM Missiles," 2008 ­ On July 9, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to Finland of 300 AIM","['WASHINGTON, July 11, 2008 \xad On July 9, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to Finland of 300 AIM-120C-7…']"
766,Germany , Tornado Aircraft Training and Logistics Support ," 2008 ­ On July 9, the Defense Security Cooperation Agency notified
Congress of a possible Foreign Military Sale to the Federal Republic of…","['WASHINGTON, July 11, 2008 \xad On July 9, the Defense Security Cooperation Agency notified\nCongress of a possible Foreign Military Sale to the Federal Republic of…']"
767,Canada , M777 155mm Light-Weight Towed Howitzers," June 17, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Canada of M777 155mm Light","['WASHINGTON, June 17, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Canada of M777 155mm Light-Weight Towed…']"
768,Australia , Large Aircraft Infrared Countermeasures (LAIRCM) Systems ," May 21, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Australia of Large Aircraft Infrared…","['WASHINGTON, May 21, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Australia of Large Aircraft Infrared…']"
769,Australia , AEGIS Combat System Components for Air Warfare Destroyer  Program," May 5, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Australia of AEGIS Combat System components…","['WASHINGTON, May 5, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Australia of AEGIS Combat System components…']"
770,Australia ," Modular Artillery Charge Systems, XM982 Block Ia-1 Excalibur  Projectiles ",null,['null']
771,Canada , CH-47D CHINOOK Helicopters," April 21, 2008 ­ The Defense Security Cooperation Agency notified Congress of a possible
Foreign Military Sale to Canada of CH","['WASHINGTON, April 21, 2008 \xad The Defense Security Cooperation Agency notified Congress of a possible\nForeign Military Sale to Canada of CH-47D CHINOOK Helicopters as…']"
772,Afghanistan , Infrastructure and Construction Services,"On 28 September 2004, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Afghanistan of infrastructure and construction…","['On 28 September 2004, the Defense Security Cooperation Agency notified Congress of a possible Foreign Military Sale to Afghanistan of infrastructure and construction…']"
